YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Washington, MO",29221,23334,5597,26.0,3956
1997-01-01,"Washington, MO",29221,24649,5269,23.5,4008
1998-01-01,"Washington, MO",29221,25590,4829,21.3,4102
1999-01-01,"Washington, MO",29221,26537,4505,20.2,4298
2000-01-01,"Washington, MO",29221,27644,4340,19.4,4106
2001-01-01,"Washington, MO",29221,26830,4375,19.5,4119
2002-01-01,"Washington, MO",29221,26932,4578,20.1,4058
2003-01-01,"Washington, MO",29221,28090,4162,18.3,3997
2004-01-01,"Washington, MO",29221,29094,4730,20.7,4026
2005-01-01,"Washington, MO",29221,30778,5685,25.1,4085
2006-01-01,"Washington, MO",29221,32298,4711,20.6,3968
2007-01-01,"Washington, MO",29221,33197,4998,21.7,3915
2008-01-01,"Washington, MO",29221,32546,5595,24.1,3906
2009-01-01,"Washington, MO",29221,32620,5730,24.8,3887
2010-01-01,"Washington, MO",29221,33287,5660,24.0,3904
2011-01-01,"Washington, MO",29221,33874,5634,24.0,3890
2012-01-01,"Washington, MO",29221,34367,5698,24.0,3868
2013-01-01,"Washington, MO",29221,34826,5792,24.0,3850
2014-01-01,"Washington, MO",29221,35277,5879,25.0,3835
2015-01-01,"Washington, MO",29221,35721,5958,25.0,3820
2016-01-01,"Washington, MO",29221,36153,6035,25.0,3805
2017-01-01,"Washington, MO",29221,36573,6110,26.0,3791
2018-01-01,"Washington, MO",29221,36980,6184,26.0,3777
2019-01-01,"Washington, MO",29221,37377,6256,26.0,3763
