YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Weber, UT",49057,40571,18526,10.3,40537
1997-01-01,"Weber, UT",49057,42764,19883,10.8,41461
1998-01-01,"Weber, UT",49057,43744,20670,11.1,41938
1999-01-01,"Weber, UT",49057,43329,17898,9.2,42127
2000-01-01,"Weber, UT",49057,46216,17916,9.0,41838
2001-01-01,"Weber, UT",49057,45489,18251,9.1,42018
2002-01-01,"Weber, UT",49057,46160,18817,9.2,41293
2003-01-01,"Weber, UT",49057,46626,20490,9.9,41345
2004-01-01,"Weber, UT",49057,47481,22779,10.9,41761
2005-01-01,"Weber, UT",49057,48998,22677,10.9,41941
2006-01-01,"Weber, UT",49057,49525,23559,11.2,42732
2007-01-01,"Weber, UT",49057,52275,22956,10.5,43279
2008-01-01,"Weber, UT",49057,51413,23572,10.5,46302
2009-01-01,"Weber, UT",49057,53094,28582,12.5,45071
2010-01-01,"Weber, UT",49057,57338,32346,14.0,44529
2011-01-01,"Weber, UT",49057,59895,33822,14.0,46214
2012-01-01,"Weber, UT",49057,61984,35653,14.0,47924
2013-01-01,"Weber, UT",49057,64973,38942,15.0,48935
2014-01-01,"Weber, UT",49057,68885,43052,17.0,49899
2015-01-01,"Weber, UT",49057,73274,47421,18.0,51324
2016-01-01,"Weber, UT",49057,78075,52198,19.0,53138
2017-01-01,"Weber, UT",49057,83540,57745,21.0,55155
2018-01-01,"Weber, UT",49057,89881,64222,23.0,57379
2019-01-01,"Weber, UT",49057,97190,71662,26.0,59929
