YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Will, IL",17197,52278,25713,6.0,63926
1997-01-01,"Will, IL",17197,54061,29709,6.5,67906
1998-01-01,"Will, IL",17197,57156,27174,5.7,79549
1999-01-01,"Will, IL",17197,60493,26805,5.4,82586
2000-01-01,"Will, IL",17197,62942,27825,5.3,74111
2001-01-01,"Will, IL",17197,62758,30497,5.5,77649
2002-01-01,"Will, IL",17197,63067,36024,6.2,81776
2003-01-01,"Will, IL",17197,63475,40646,6.7,86662
2004-01-01,"Will, IL",17197,66417,42183,6.6,98040
2005-01-01,"Will, IL",17197,68592,33952,5.4,103362
2006-01-01,"Will, IL",17197,72863,39463,6.0,108460
2007-01-01,"Will, IL",17197,71597,39037,5.9,114560
2008-01-01,"Will, IL",17197,76561,43879,6.5,117249
2009-01-01,"Will, IL",17197,72478,47438,7.0,118516
2010-01-01,"Will, IL",17197,74434,45196,6.0,126245
2011-01-01,"Will, IL",17197,77169,44392,6.0,130206
2012-01-01,"Will, IL",17197,78016,45084,6.0,132012
2013-01-01,"Will, IL",17197,78420,45759,6.0,133830
2014-01-01,"Will, IL",17197,78950,46186,6.0,135774
2015-01-01,"Will, IL",17197,79504,46533,6.0,137578
2016-01-01,"Will, IL",17197,79996,46860,6.0,139193
2017-01-01,"Will, IL",17197,80429,47158,6.0,140653
2018-01-01,"Will, IL",17197,80817,47420,6.0,141977
2019-01-01,"Will, IL",17197,81166,47650,6.0,143173
