YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Williams, OH",39171,35021,2476,6.5,7004
1997-01-01,"Williams, OH",39171,37571,2600,6.8,7471
1998-01-01,"Williams, OH",39171,38654,2536,6.7,7360
1999-01-01,"Williams, OH",39171,39479,2593,6.8,7351
2000-01-01,"Williams, OH",39171,41381,2541,6.7,7351
2001-01-01,"Williams, OH",39171,40251,2973,7.8,7201
2002-01-01,"Williams, OH",39171,40217,2833,7.5,7225
2003-01-01,"Williams, OH",39171,40545,2910,7.7,7110
2004-01-01,"Williams, OH",39171,41939,3119,8.3,6927
2005-01-01,"Williams, OH",39171,43189,3444,9.2,6863
2006-01-01,"Williams, OH",39171,42827,3635,9.7,6831
2007-01-01,"Williams, OH",39171,45377,3300,8.9,6754
2008-01-01,"Williams, OH",39171,46904,3602,9.7,6712
2009-01-01,"Williams, OH",39171,41079,4418,12.1,6505
2010-01-01,"Williams, OH",39171,47747,3513,9.0,6372
2011-01-01,"Williams, OH",39171,46524,4515,12.0,6341
2012-01-01,"Williams, OH",39171,48267,4310,11.0,6152
2013-01-01,"Williams, OH",39171,48885,4708,12.0,6049
2014-01-01,"Williams, OH",39171,50115,4840,13.0,5890
2015-01-01,"Williams, OH",39171,51154,5119,14.0,5745
2016-01-01,"Williams, OH",39171,52390,5351,14.0,5579
2017-01-01,"Williams, OH",39171,53646,5628,15.0,5407
2018-01-01,"Williams, OH",39171,55012,5910,16.0,5221
2019-01-01,"Williams, OH",39171,56454,6216,17.0,5025
