YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Worth, MO",29227,19901,482,21.1,462
1997-01-01,"Worth, MO",29227,23440,431,19.1,500
1998-01-01,"Worth, MO",29227,24876,356,15.9,498
1999-01-01,"Worth, MO",29227,26636,331,14.0,475
2000-01-01,"Worth, MO",29227,28081,333,14.5,453
2001-01-01,"Worth, MO",29227,27474,340,15.0,439
2002-01-01,"Worth, MO",29227,27616,312,13.9,415
2003-01-01,"Worth, MO",29227,27750,299,13.2,401
2004-01-01,"Worth, MO",29227,29408,296,13.8,389
2005-01-01,"Worth, MO",29227,30070,343,16.2,378
2006-01-01,"Worth, MO",29227,31198,340,15.9,379
2007-01-01,"Worth, MO",29227,34017,344,16.7,379
2008-01-01,"Worth, MO",29227,44078,292,14.6,409
2009-01-01,"Worth, MO",29227,31617,322,16.3,385
2010-01-01,"Worth, MO",29227,37831,302,14.0,387
2011-01-01,"Worth, MO",29227,34605,314,15.0,378
2012-01-01,"Worth, MO",29227,36558,310,15.0,378
2013-01-01,"Worth, MO",29227,36005,313,15.0,376
2014-01-01,"Worth, MO",29227,36705,312,15.0,376
2015-01-01,"Worth, MO",29227,36680,312,15.0,375
2016-01-01,"Worth, MO",29227,36929,311,15.0,375
2017-01-01,"Worth, MO",29227,36965,311,15.0,375
2018-01-01,"Worth, MO",29227,37060,311,15.0,375
2019-01-01,"Worth, MO",29227,37096,311,15.0,374
