YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Yavapai, AZ",4025,29205,19115,13.6,19355
1997-01-01,"Yavapai, AZ",4025,30230,20549,13.8,20681
1998-01-01,"Yavapai, AZ",4025,32273,20325,13.3,22499
1999-01-01,"Yavapai, AZ",4025,33208,19040,11.6,23031
2000-01-01,"Yavapai, AZ",4025,34241,20372,12.0,23970
2001-01-01,"Yavapai, AZ",4025,33398,22876,13.0,23881
2002-01-01,"Yavapai, AZ",4025,34114,22858,12.6,24124
2003-01-01,"Yavapai, AZ",4025,35260,22530,12.0,25289
2004-01-01,"Yavapai, AZ",4025,37309,24640,12.6,27244
2005-01-01,"Yavapai, AZ",4025,40382,24888,12.8,28192
2006-01-01,"Yavapai, AZ",4025,40923,25218,12.4,28916
2007-01-01,"Yavapai, AZ",4025,44268,26335,12.6,26666
2008-01-01,"Yavapai, AZ",4025,42311,27395,12.9,26788
2009-01-01,"Yavapai, AZ",4025,40837,29979,14.2,26388
2010-01-01,"Yavapai, AZ",4025,41093,30217,14.0,27084
2011-01-01,"Yavapai, AZ",4025,41963,30047,14.0,27567
2012-01-01,"Yavapai, AZ",4025,42714,29956,14.0,27786
2013-01-01,"Yavapai, AZ",4025,43143,30073,13.0,27860
2014-01-01,"Yavapai, AZ",4025,43348,30325,13.0,27901
2015-01-01,"Yavapai, AZ",4025,43475,30602,14.0,27957
2016-01-01,"Yavapai, AZ",4025,43608,30842,14.0,28030
2017-01-01,"Yavapai, AZ",4025,43761,31035,14.0,28104
2018-01-01,"Yavapai, AZ",4025,43916,31194,14.0,28169
2019-01-01,"Yavapai, AZ",4025,44057,31334,14.0,28221
