YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"York, VA",51199,51172,2911,5.2,10619
1997-01-01,"York, VA",51199,51898,3586,6.1,10729
1998-01-01,"York, VA",51199,56275,3130,5.3,10969
1999-01-01,"York, VA",51199,57013,2550,4.5,11205
2000-01-01,"York, VA",51199,60541,2482,4.3,11454
2001-01-01,"York, VA",51199,60729,2556,4.3,11642
2002-01-01,"York, VA",51199,62965,2746,4.5,11756
2003-01-01,"York, VA",51199,65302,3033,5.0,11942
2004-01-01,"York, VA",51199,68310,2971,4.8,12417
2005-01-01,"York, VA",51199,70743,2567,4.2,12363
2006-01-01,"York, VA",51199,71272,2648,4.3,12833
2007-01-01,"York, VA",51199,78234,2514,4.1,12670
2008-01-01,"York, VA",51199,78920,2651,4.4,12836
2009-01-01,"York, VA",51199,77662,2830,4.7,12893
2010-01-01,"York, VA",51199,79486,2844,4.0,12886
2011-01-01,"York, VA",51199,79946,2854,4.0,12968
2012-01-01,"York, VA",51199,80843,2875,4.0,12996
2013-01-01,"York, VA",51199,81378,2891,4.0,13037
2014-01-01,"York, VA",51199,81935,2909,4.0,13062
2015-01-01,"York, VA",51199,82354,2926,4.0,13086
2016-01-01,"York, VA",51199,82722,2941,4.0,13103
2017-01-01,"York, VA",51199,83012,2955,4.0,13116
2018-01-01,"York, VA",51199,83251,2967,4.0,13126
2019-01-01,"York, VA",51199,83437,2979,4.0,13134
