YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,ARKANSAS,5000,26515,455776,18.2,447719
1997,ARKANSAS,5000,27875,442856,17.5,455547
1998,ARKANSAS,5000,29212,417961,16.4,459787
1999,ARKANSAS,5000,31217,395852,15.1,459008
2000,ARKANSAS,5000,31496,394960,15.0,452267
2001,ARKANSAS,5000,32864,419048,15.9,451034
2002,ARKANSAS,5000,32819,435986,16.3,449959
2003,ARKANSAS,5000,33445,431726,16.0,449805
2004,ARKANSAS,5000,35295,424576,15.6,454523
2005,ARKANSAS,5000,35041,461758,17.2,463115
2006,ARKANSAS,5000,36627,471161,17.3,474206
2007,ARKANSAS,5000,38239,483510,17.6,476409
2008,ARKANSAS,5000,38820,479140,17.3,479016
2009,ARKANSAS,5000,37888,519026,18.5,478965
