YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Aleutians East, AK",2013,46173,242,10.3,446
1997,"Aleutians East, AK",2013,42714,322,14.2,392
1998,"Aleutians East, AK",2013,40350,265,12.1,407
1999,"Aleutians East, AK",2013,39386,240,8.9,346
2000,"Aleutians East, AK",2013,42703,314,12.6,366
2001,"Aleutians East, AK",2013,40779,351,13.5,362
2002,"Aleutians East, AK",2013,38237,297,11.2,301
2003,"Aleutians East, AK",2013,39177,316,11.7,324
2004,"Aleutians East, AK",2013,39828,346,12.7,307
2005,"Aleutians East, AK",2013,47177,225,16.8,294
2006,"Aleutians East, AK",2013,46164,402,15.2,271
2007,"Aleutians East, AK",2013,56111,450,16.9,267
2008,"Aleutians East, AK",2013,52786,429,15.3,283
2009,"Aleutians East, AK",2013,50444,380,13.9,275
