YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Augusta, VA",51015,35223,4731,7.7,10257
1997,"Augusta, VA",51015,38934,5062,8.4,10673
1998,"Augusta, VA",51015,41116,5300,8.7,10817
1999,"Augusta, VA",51015,41445,4888,7.6,10877
2000,"Augusta, VA",51015,43427,4803,7.4,10901
2001,"Augusta, VA",51015,42369,4904,7.5,10843
2002,"Augusta, VA",51015,43492,5085,7.7,10746
2003,"Augusta, VA",51015,45347,5164,7.7,10755
2004,"Augusta, VA",51015,47039,4877,7.1,10714
2005,"Augusta, VA",51015,46202,4997,7.4,10871
2006,"Augusta, VA",51015,47970,5723,8.3,11045
2007,"Augusta, VA",51015,50887,4968,7.2,11105
2008,"Augusta, VA",51015,52341,5686,8.2,11040
2009,"Augusta, VA",51015,50401,6464,9.3,10999
