YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Berks, PA",42011,39140,30429,8.7,57067
1997,"Berks, PA",42011,40587,31020,8.8,59965
1998,"Berks, PA",42011,41460,31853,8.9,61398
1999,"Berks, PA",42011,42141,32039,8.7,62249
2000,"Berks, PA",42011,44716,29958,8.1,63211
2001,"Berks, PA",42011,44341,32988,8.8,63793
2002,"Berks, PA",42011,44626,34116,9.0,64401
2003,"Berks, PA",42011,45158,38789,10.1,66125
2004,"Berks, PA",42011,46008,40730,10.5,67409
2005,"Berks, PA",42011,50570,42348,11.1,69102
2006,"Berks, PA",42011,50025,40661,10.5,70284
2007,"Berks, PA",42011,52620,43284,11.1,73761
2008,"Berks, PA",42011,54492,44207,11.3,70255
2009,"Berks, PA",42011,53239,47780,12.1,70160
