YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Braxton, WV",54007,21701,3558,26.3,2678
1997,"Braxton, WV",54007,23427,2872,21.5,2672
1998,"Braxton, WV",54007,25044,2917,21.6,2748
1999,"Braxton, WV",54007,24746,2935,20.6,2763
2000,"Braxton, WV",54007,25505,2907,20.4,2770
2001,"Braxton, WV",54007,24920,3124,21.9,2748
2002,"Braxton, WV",54007,25753,2994,20.9,2662
2003,"Braxton, WV",54007,26717,2878,19.9,2641
2004,"Braxton, WV",54007,28171,2897,20.1,2555
2005,"Braxton, WV",54007,26963,3343,23.5,2457
2006,"Braxton, WV",54007,29456,3134,22.0,2411
2007,"Braxton, WV",54007,31616,3137,22.3,2366
2008,"Braxton, WV",54007,30843,2982,21.1,2291
2009,"Braxton, WV",54007,31471,3231,23.3,2289
