YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Colleton, SC",45029,24582,8906,24.0,7088
1997,"Colleton, SC",45029,25682,8546,22.6,6947
1998,"Colleton, SC",45029,26239,8321,21.8,7047
1999,"Colleton, SC",45029,27912,7615,19.9,6980
2000,"Colleton, SC",45029,29768,7416,19.3,6966
2001,"Colleton, SC",45029,28861,7908,20.4,7086
2002,"Colleton, SC",45029,28919,7813,19.9,6920
2003,"Colleton, SC",45029,29711,7375,18.6,6888
2004,"Colleton, SC",45029,30733,7944,20.0,6719
2005,"Colleton, SC",45029,31059,8734,22.3,6592
2006,"Colleton, SC",45029,33852,8970,22.9,6414
2007,"Colleton, SC",45029,34703,8386,21.7,6442
2008,"Colleton, SC",45029,34136,8182,21.1,6377
2009,"Colleton, SC",45029,35935,8521,22.0,6276
