YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Cullman, AL",1043,28824,10323,13.9,11950
1997,"Cullman, AL",1043,30705,9809,13.0,12060
1998,"Cullman, AL",1043,32609,10077,13.2,11993
1999,"Cullman, AL",1043,32336,9948,12.9,12168
2000,"Cullman, AL",1043,33441,9880,12.8,12242
2001,"Cullman, AL",1043,32877,10905,14.2,12226
2002,"Cullman, AL",1043,32821,10873,14.0,12217
2003,"Cullman, AL",1043,33962,10457,13.3,12109
2004,"Cullman, AL",1043,35150,10883,13.8,12416
2005,"Cullman, AL",1043,36693,11578,14.7,12520
2006,"Cullman, AL",1043,35774,12402,15.7,12664
2007,"Cullman, AL",1043,39194,11267,14.2,12754
2008,"Cullman, AL",1043,39276,11909,14.8,12818
2009,"Cullman, AL",1043,37425,15578,19.3,12805
