YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Dickinson, KS",20041,30267,2137,10.8,4292
1997,"Dickinson, KS",20041,33975,1923,9.9,4428
1998,"Dickinson, KS",20041,35200,1977,10.1,4308
1999,"Dickinson, KS",20041,35773,1793,9.4,4257
2000,"Dickinson, KS",20041,37187,1523,8.1,4342
2001,"Dickinson, KS",20041,36549,1703,9.0,4249
2002,"Dickinson, KS",20041,36201,1699,8.9,4157
2003,"Dickinson, KS",20041,37097,1736,9.2,3948
2004,"Dickinson, KS",20041,38311,1769,9.3,3884
2005,"Dickinson, KS",20041,41061,1656,8.8,3854
2006,"Dickinson, KS",20041,40773,1994,10.5,3908
2007,"Dickinson, KS",20041,45131,1599,8.6,3981
2008,"Dickinson, KS",20041,46289,1761,9.3,4086
2009,"Dickinson, KS",20041,44307,1839,9.9,3982
