YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,FLORIDA,12000,29998,2183686,15.2,2040763
1997,FLORIDA,12000,32877,2129825,14.4,2179138
1998,FLORIDA,12000,34757,2040634,13.6,2245231
1999,FLORIDA,12000,36309,1939545,12.4,2295671
2000,FLORIDA,12000,38784,1877399,11.7,2337757
2001,FLORIDA,12000,37319,2048082,12.6,2381594
2002,FLORIDA,12000,38226,2137435,12.8,2436159
2003,FLORIDA,12000,38985,2215209,13.0,2504916
2004,FLORIDA,12000,40900,2074997,11.9,2600203
2005,FLORIDA,12000,42437,2220829,12.8,2654987
2006,FLORIDA,12000,45494,2232534,12.6,2675024
2007,FLORIDA,12000,47804,2167111,12.1,2671513
2008,FLORIDA,12000,47802,2375225,13.3,2666811
2009,FLORIDA,12000,44755,2712692,15.0,2631020
