YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Faulkner, AR",5045,34160,7894,10.9,11954
1997,"Faulkner, AR",5045,35722,8304,10.9,13078
1998,"Faulkner, AR",5045,37983,8481,10.8,13522
1999,"Faulkner, AR",5045,37896,8731,10.5,13745
2000,"Faulkner, AR",5045,39355,9090,10.7,14020
2001,"Faulkner, AR",5045,38345,9874,11.5,14243
2002,"Faulkner, AR",5045,38817,10951,12.3,14362
2003,"Faulkner, AR",5045,40313,11616,12.8,14676
2004,"Faulkner, AR",5045,41297,11844,12.8,15105
2005,"Faulkner, AR",5045,42738,12054,13.2,15554
2006,"Faulkner, AR",5045,42757,12761,13.4,16180
2007,"Faulkner, AR",5045,45370,14734,14.9,16742
2008,"Faulkner, AR",5045,43553,16448,16.2,17094
2009,"Faulkner, AR",5045,48390,14790,14.3,17426
