YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Fresno, CA",6019,30984,188008,25.2,164198
1997,"Fresno, CA",6019,31587,191614,25.6,170190
1998,"Fresno, CA",6019,32023,183863,24.3,173869
1999,"Fresno, CA",6019,32576,170870,21.7,174924
2000,"Fresno, CA",6019,34930,164786,20.6,177213
2001,"Fresno, CA",6019,34020,169383,20.8,178962
2002,"Fresno, CA",6019,34579,175440,21.0,181110
2003,"Fresno, CA",6019,35952,175357,20.6,185790
2004,"Fresno, CA",6019,36930,170457,19.8,190744
2005,"Fresno, CA",6019,41390,177490,20.8,191464
2006,"Fresno, CA",6019,42433,182150,20.8,192528
2007,"Fresno, CA",6019,46547,176300,20.0,193881
2008,"Fresno, CA",6019,43534,197265,22.1,192892
2009,"Fresno, CA",6019,45219,192638,21.5,193838
