YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Gilmer, WV",54021,20537,2122,31.2,1347
1997,"Gilmer, WV",54021,22686,1713,25.0,1276
1998,"Gilmer, WV",54021,23808,1646,24.3,1268
1999,"Gilmer, WV",54021,23312,1478,21.9,1273
2000,"Gilmer, WV",54021,24119,1485,22.2,1188
2001,"Gilmer, WV",54021,23601,1488,22.7,1180
2002,"Gilmer, WV",54021,23725,1466,22.1,1129
2003,"Gilmer, WV",54021,24873,1289,19.6,1095
2004,"Gilmer, WV",54021,26557,1286,19.7,1049
2005,"Gilmer, WV",54021,26673,1607,24.8,1009
2006,"Gilmer, WV",54021,28510,1479,22.8,954
2007,"Gilmer, WV",54021,34355,1467,22.8,973
2008,"Gilmer, WV",54021,29678,1554,24.3,942
2009,"Gilmer, WV",54021,31611,1483,23.4,941
