YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Hardeman, TX",48197,23040,954,20.2,1066
1997,"Hardeman, TX",48197,25513,870,19.4,1085
1998,"Hardeman, TX",48197,26961,848,19.7,1024
1999,"Hardeman, TX",48197,27564,839,17.9,1014
2000,"Hardeman, TX",48197,28995,780,17.2,925
2001,"Hardeman, TX",48197,28806,769,17.3,891
2002,"Hardeman, TX",48197,27984,699,15.9,873
2003,"Hardeman, TX",48197,28832,713,16.5,848
2004,"Hardeman, TX",48197,29083,711,16.7,794
2005,"Hardeman, TX",48197,30507,791,18.8,808
2006,"Hardeman, TX",48197,32290,720,17.2,796
2007,"Hardeman, TX",48197,33602,684,16.8,763
2008,"Hardeman, TX",48197,34007,690,17.6,772
2009,"Hardeman, TX",48197,33657,719,18.8,740
