YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Hitchcock, NE",31087,25780,388,11.5,595
1997,"Hitchcock, NE",31087,26894,437,12.8,576
1998,"Hitchcock, NE",31087,26663,508,15.2,564
1999,"Hitchcock, NE",31087,28448,425,13.8,529
2000,"Hitchcock, NE",31087,29673,415,13.7,500
2001,"Hitchcock, NE",31087,29012,445,14.8,480
2002,"Hitchcock, NE",31087,27413,431,14.4,478
2003,"Hitchcock, NE",31087,29672,389,13.1,400
2004,"Hitchcock, NE",31087,31220,365,12.5,365
2005,"Hitchcock, NE",31087,34426,418,14.4,280
2006,"Hitchcock, NE",31087,32350,441,15.4,299
2007,"Hitchcock, NE",31087,33548,403,14.5,302
2008,"Hitchcock, NE",31087,37381,376,13.6,238
2009,"Hitchcock, NE",31087,36821,409,15.0,234
