YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Humboldt, CA",6023,28468,20737,17.0,21812
1997,"Humboldt, CA",6023,30426,22332,18.5,22170
1998,"Humboldt, CA",6023,31630,21345,17.8,22023
1999,"Humboldt, CA",6023,30669,20312,16.4,21878
2000,"Humboldt, CA",6023,32098,19614,15.9,22209
2001,"Humboldt, CA",6023,31251,19550,15.8,21127
2002,"Humboldt, CA",6023,31546,19409,15.5,21195
2003,"Humboldt, CA",6023,32123,19601,15.6,20569
2004,"Humboldt, CA",6023,33281,19295,15.4,20220
2005,"Humboldt, CA",6023,33923,20367,16.5,19814
2006,"Humboldt, CA",6023,38796,22480,18.0,19244
2007,"Humboldt, CA",6023,37281,21180,16.9,18245
2008,"Humboldt, CA",6023,39627,24794,19.8,17917
2009,"Humboldt, CA",6023,35985,23979,19.0,17475
