YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,IOWA,19000,33436,276364,9.8,499396
1997,IOWA,19000,35427,280797,9.9,503870
1998,IOWA,19000,38159,270604,9.5,504548
1999,IOWA,19000,39537,243340,8.5,502455
2000,IOWA,19000,40443,237684,8.3,499819
2001,IOWA,19000,41216,236115,8.2,498819
2002,IOWA,19000,41052,262013,9.1,495080
2003,IOWA,19000,42278,264094,9.1,485932
2004,IOWA,19000,42865,304598,10.5,481226
2005,IOWA,19000,43610,308713,10.8,478319
2006,IOWA,19000,44560,315973,11.0,483482
2007,IOWA,19000,47324,316303,11.0,483122
2008,IOWA,19000,49007,331057,11.4,485114
2009,IOWA,19000,48065,342309,11.8,487559
