YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Kossuth, IA",19109,30346,1754,9.7,2740
1997,"Kossuth, IA",19109,34492,1681,9.5,2724
1998,"Kossuth, IA",19109,34371,1866,10.5,2785
1999,"Kossuth, IA",19109,34728,1569,9.2,2728
2000,"Kossuth, IA",19109,36412,1504,9.0,2633
2001,"Kossuth, IA",19109,36274,1386,8.4,2574
2002,"Kossuth, IA",19109,37242,1443,8.8,2427
2003,"Kossuth, IA",19109,37843,1484,9.1,2324
2004,"Kossuth, IA",19109,40394,1606,10.0,2197
2005,"Kossuth, IA",19109,39878,1632,10.3,2083
2006,"Kossuth, IA",19109,41227,1520,9.6,2112
2007,"Kossuth, IA",19109,45953,1373,9.0,2002
2008,"Kossuth, IA",19109,46389,1683,11.1,1983
2009,"Kossuth, IA",19109,47812,1502,10.1,1994
