YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Lac qui Parle, MN",27073,28231,752,9.3,1915
1997,"Lac qui Parle, MN",27073,32011,732,9.3,1897
1998,"Lac qui Parle, MN",27073,32589,829,10.7,798
1999,"Lac qui Parle, MN",27073,33083,649,8.2,795
2000,"Lac qui Parle, MN",27073,34787,595,7.6,2080
2001,"Lac qui Parle, MN",27073,34104,626,8.1,1995
2002,"Lac qui Parle, MN",27073,34775,621,8.0,1915
2003,"Lac qui Parle, MN",27073,34271,607,8.0,1879
2004,"Lac qui Parle, MN",27073,37510,570,7.6,1777
2005,"Lac qui Parle, MN",27073,38041,670,9.1,1698
2006,"Lac qui Parle, MN",27073,39331,683,9.4,1616
2007,"Lac qui Parle, MN",27073,40293,746,10.6,1563
2008,"Lac qui Parle, MN",27073,43335,618,8.9,1564
2009,"Lac qui Parle, MN",27073,44782,609,8.8,1506
