YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Lancaster, VA",51103,31275,1716,15.1,1602
1997,"Lancaster, VA",51103,32085,1875,16.5,1634
1998,"Lancaster, VA",51103,34031,1736,15.3,1618
1999,"Lancaster, VA",51103,33042,1475,13.1,1617
2000,"Lancaster, VA",51103,35113,1435,12.9,1616
2001,"Lancaster, VA",51103,34304,1399,12.5,1578
2002,"Lancaster, VA",51103,35193,1513,13.4,1513
2003,"Lancaster, VA",51103,35985,1495,13.3,1462
2004,"Lancaster, VA",51103,38464,1395,12.3,1447
2005,"Lancaster, VA",51103,38155,1518,13.6,1475
2006,"Lancaster, VA",51103,40883,1507,13.5,1440
2007,"Lancaster, VA",51103,42392,1434,12.9,1452
2008,"Lancaster, VA",51103,45715,1463,13.2,1443
2009,"Lancaster, VA",51103,43434,1379,12.7,1380
