YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Morton, KS",20129,34506,388,11.6,762
1997,"Morton, KS",20129,38752,393,11.5,766
1998,"Morton, KS",20129,39353,398,11.4,750
1999,"Morton, KS",20129,38669,400,11.5,773
2000,"Morton, KS",20129,39602,325,9.7,805
2001,"Morton, KS",20129,38646,323,9.8,815
2002,"Morton, KS",20129,37727,330,10.0,764
2003,"Morton, KS",20129,38730,317,9.8,927
2004,"Morton, KS",20129,38969,334,10.5,933
2005,"Morton, KS",20129,39571,369,11.8,1029
2006,"Morton, KS",20129,37067,387,12.6,923
2007,"Morton, KS",20129,46371,324,10.9,1030
2008,"Morton, KS",20129,48636,290,9.9,982
2009,"Morton, KS",20129,49689,313,10.5,992
