YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"New Haven, CT",9009,42123,78508,10.0,114430
1997,"New Haven, CT",9009,44412,83789,10.6,119463
1998,"New Haven, CT",9009,46030,81588,10.4,121328
1999,"New Haven, CT",9009,46576,72328,8.9,123919
2000,"New Haven, CT",9009,49428,71499,8.8,126042
2001,"New Haven, CT",9009,48783,70473,8.6,127826
2002,"New Haven, CT",9009,49098,79342,9.6,129636
2003,"New Haven, CT",9009,50723,77599,9.4,132007
2004,"New Haven, CT",9009,52591,88635,10.7,133921
2005,"New Haven, CT",9009,53577,88557,10.9,134036
2006,"New Haven, CT",9009,56755,80732,9.9,133089
2007,"New Haven, CT",9009,59640,77912,9.5,133358
2008,"New Haven, CT",9009,61459,89679,11.0,132407
2009,"New Haven, CT",9009,60388,97672,11.9,131181
