YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Northumberland, VA",51133,28505,1604,14.0,1516
1997,"Northumberland, VA",51133,30888,1669,14.3,1551
1998,"Northumberland, VA",51133,33197,1506,12.8,1590
1999,"Northumberland, VA",51133,35684,1342,10.9,1572
2000,"Northumberland, VA",51133,37562,1458,11.8,1542
2001,"Northumberland, VA",51133,36742,1477,11.7,1533
2002,"Northumberland, VA",51133,36810,1666,13.0,1488
2003,"Northumberland, VA",51133,37997,1583,12.2,1519
2004,"Northumberland, VA",51133,40139,1523,11.8,1488
2005,"Northumberland, VA",51133,41903,1591,12.4,1477
2006,"Northumberland, VA",51133,44183,1709,13.4,1493
2007,"Northumberland, VA",51133,45085,1756,13.6,1546
2008,"Northumberland, VA",51133,47152,1679,13.0,1498
2009,"Northumberland, VA",51133,53856,1766,13.6,1478
