YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Piatt, IL",17147,38621,1000,6.1,3394
1997,"Piatt, IL",17147,43109,1102,6.7,3441
1998,"Piatt, IL",17147,45299,1043,6.3,3834
1999,"Piatt, IL",17147,45399,970,6.0,3789
2000,"Piatt, IL",17147,47743,965,6.0,3465
2001,"Piatt, IL",17147,47428,922,5.7,3420
2002,"Piatt, IL",17147,47891,1020,6.2,3406
2003,"Piatt, IL",17147,47851,995,6.1,3407
2004,"Piatt, IL",17147,49792,1059,6.4,3288
2005,"Piatt, IL",17147,49721,1017,6.2,3306
2006,"Piatt, IL",17147,52764,1201,7.3,3342
2007,"Piatt, IL",17147,55009,1107,6.8,3373
2008,"Piatt, IL",17147,59515,1049,6.4,3385
2009,"Piatt, IL",17147,58519,1094,6.7,3382
