YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Pickens, AL",1107,23568,5424,25.7,4033
1997,"Pickens, AL",1107,24567,4962,23.5,3954
1998,"Pickens, AL",1107,25573,4680,22.1,3925
1999,"Pickens, AL",1107,25847,4445,21.3,3883
2000,"Pickens, AL",1107,27065,4146,20.1,3844
2001,"Pickens, AL",1107,26521,4208,20.4,3768
2002,"Pickens, AL",1107,26200,4022,19.7,3708
2003,"Pickens, AL",1107,26821,3917,19.3,3668
2004,"Pickens, AL",1107,27737,4161,20.8,3317
2005,"Pickens, AL",1107,28578,4649,23.3,3242
2006,"Pickens, AL",1107,29737,4572,23.0,3183
2007,"Pickens, AL",1107,31497,4309,22.2,3101
2008,"Pickens, AL",1107,31053,4932,25.6,3145
2009,"Pickens, AL",1107,29677,5325,28.0,3032
