YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Pike, IL",17149,25334,2532,14.5,3144
1997,"Pike, IL",17149,29308,2476,14.2,3096
1998,"Pike, IL",17149,30441,2478,14.3,3751
1999,"Pike, IL",17149,30869,2130,12.7,3870
2000,"Pike, IL",17149,32239,2234,13.5,3166
2001,"Pike, IL",17149,32065,2168,13.2,3121
2002,"Pike, IL",17149,32278,2193,13.4,3148
2003,"Pike, IL",17149,33101,2051,12.5,3025
2004,"Pike, IL",17149,35201,2085,12.6,2982
2005,"Pike, IL",17149,36859,2343,14.3,2925
2006,"Pike, IL",17149,32932,2349,14.6,2886
2007,"Pike, IL",17149,39219,2187,13.7,2857
2008,"Pike, IL",17149,40205,2470,15.6,2826
2009,"Pike, IL",17149,38191,2662,17.1,2782
