YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Pottawatomie, KS",20149,34689,1601,8.9,3722
1997,"Pottawatomie, KS",20149,38587,1575,8.4,3773
1998,"Pottawatomie, KS",20149,40778,1675,8.8,3779
1999,"Pottawatomie, KS",20149,40369,1700,9.4,3836
2000,"Pottawatomie, KS",20149,42448,1415,7.8,3817
2001,"Pottawatomie, KS",20149,42469,1431,7.8,3763
2002,"Pottawatomie, KS",20149,43681,1573,8.4,3769
2003,"Pottawatomie, KS",20149,44668,1715,9.1,3718
2004,"Pottawatomie, KS",20149,46616,1763,9.3,3626
2005,"Pottawatomie, KS",20149,46271,1806,9.6,3622
2006,"Pottawatomie, KS",20149,47221,1878,9.9,3694
2007,"Pottawatomie, KS",20149,50282,1536,8.0,3825
2008,"Pottawatomie, KS",20149,54341,1545,8.0,3822
2009,"Pottawatomie, KS",20149,54949,1787,9.1,3825
