YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Robertson, TX",48395,22055,4146,26.8,3158
1997,"Robertson, TX",48395,23600,3798,24.4,3230
1998,"Robertson, TX",48395,24541,3537,22.7,3306
1999,"Robertson, TX",48395,27422,3303,20.9,3314
2000,"Robertson, TX",48395,29452,3168,20.1,3295
2001,"Robertson, TX",48395,29391,3034,19.4,3322
2002,"Robertson, TX",48395,29801,2975,19.1,3288
2003,"Robertson, TX",48395,30615,3036,19.1,3334
2004,"Robertson, TX",48395,31960,3001,18.8,3291
2005,"Robertson, TX",48395,32984,3275,20.7,3431
2006,"Robertson, TX",48395,34208,3409,21.5,3431
2007,"Robertson, TX",48395,35543,3063,19.7,3328
2008,"Robertson, TX",48395,37219,3155,20.5,3319
2009,"Robertson, TX",48395,37261,3113,20.2,3285
