YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Rockingham, NH",33015,49114,13766,5.2,35781
1997,"Rockingham, NH",33015,54161,14073,5.1,38151
1998,"Rockingham, NH",33015,57667,14468,5.2,39463
1999,"Rockingham, NH",33015,57826,14081,5.1,38294
2000,"Rockingham, NH",33015,62612,11369,4.0,41464
2001,"Rockingham, NH",33015,62915,12153,4.2,42166
2002,"Rockingham, NH",33015,63259,12980,4.4,49211
2003,"Rockingham, NH",33015,65101,13134,4.5,49327
2004,"Rockingham, NH",33015,65923,13504,4.6,49321
2005,"Rockingham, NH",33015,66131,15163,5.2,49509
2006,"Rockingham, NH",33015,70376,16121,5.5,49300
2007,"Rockingham, NH",33015,75054,13602,4.6,51140
2008,"Rockingham, NH",33015,75425,14020,4.8,51175
2009,"Rockingham, NH",33015,70196,17991,6.1,49150
