YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Rusk, WI",55107,25710,2287,14.9,3018
1997,"Rusk, WI",55107,27772,2210,14.6,2929
1998,"Rusk, WI",55107,30279,2054,13.6,3006
1999,"Rusk, WI",55107,31219,1800,11.9,2909
2000,"Rusk, WI",55107,32601,1829,12.2,2815
2001,"Rusk, WI",55107,31890,1841,12.3,2741
2002,"Rusk, WI",55107,32330,1783,11.9,2755
2003,"Rusk, WI",55107,33102,1641,11.0,2734
2004,"Rusk, WI",55107,34468,1916,12.9,2591
2005,"Rusk, WI",55107,35505,2091,14.2,2513
2006,"Rusk, WI",55107,35630,1938,13.3,2424
2007,"Rusk, WI",55107,36955,2044,14.4,2390
2008,"Rusk, WI",55107,37732,2015,14.2,2380
2009,"Rusk, WI",55107,36032,2414,17.1,2315
