YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Saluda, SC",45081,26595,2909,17.4,2300
1997,"Saluda, SC",45081,29005,2856,16.8,2226
1998,"Saluda, SC",45081,30300,2717,15.9,2224
1999,"Saluda, SC",45081,32565,2674,14.0,2155
2000,"Saluda, SC",45081,34087,2910,15.2,2161
2001,"Saluda, SC",45081,32359,3440,18.2,2254
2002,"Saluda, SC",45081,31324,3349,17.6,2200
2003,"Saluda, SC",45081,31614,2830,15.1,2193
2004,"Saluda, SC",45081,34771,2960,15.7,2201
2005,"Saluda, SC",45081,37245,3356,18.1,2149
2006,"Saluda, SC",45081,38742,3153,16.8,2120
2007,"Saluda, SC",45081,38968,3099,16.8,2182
2008,"Saluda, SC",45081,40295,3075,16.7,2131
2009,"Saluda, SC",45081,40819,3353,17.8,2100
