YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"San Diego, CA",6073,37239,407998,15.5,421790
1997,"San Diego, CA",6073,39427,386232,14.2,438201
1998,"San Diego, CA",6073,41909,363612,13.1,449463
1999,"San Diego, CA",6073,44009,333102,12.2,460949
2000,"San Diego, CA",6073,48363,302668,10.9,470494
2001,"San Diego, CA",6073,47944,307213,10.9,480017
2002,"San Diego, CA",6073,47867,311688,10.9,488377
2003,"San Diego, CA",6073,48634,331713,11.6,494588
2004,"San Diego, CA",6073,51939,308791,10.9,499355
2005,"San Diego, CA",6073,56224,310376,11.0,498186
2006,"San Diego, CA",6073,59279,330618,11.7,495228
2007,"San Diego, CA",6073,61724,319404,11.1,494004
2008,"San Diego, CA",6073,62820,364576,12.6,495689
2009,"San Diego, CA",6073,60103,372782,12.5,496702
