YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Santa Clara, CA",6085,53490,144034,9.1,235416
1997,"Santa Clara, CA",6085,59639,146523,9.0,243514
1998,"Santa Clara, CA",6085,63298,134983,8.2,248377
1999,"Santa Clara, CA",6085,68619,128567,7.7,252207
2000,"Santa Clara, CA",6085,74705,111287,6.7,253367
2001,"Santa Clara, CA",6085,72869,111498,6.8,254782
2002,"Santa Clara, CA",6085,70216,128622,7.8,254004
2003,"Santa Clara, CA",6085,68167,146198,8.8,248777
2004,"Santa Clara, CA",6085,68842,141085,8.4,251811
2005,"Santa Clara, CA",6085,76686,139059,8.4,253065
2006,"Santa Clara, CA",6085,80775,152737,9.0,254622
2007,"Santa Clara, CA",6085,84265,143226,8.3,256502
2008,"Santa Clara, CA",6085,88525,131334,7.6,258715
2009,"Santa Clara, CA",6085,84990,159677,9.1,261540
