YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Sevier, TN",47155,29931,8439,13.6,10068
1997,"Sevier, TN",47155,30189,9029,13.9,11032
1998,"Sevier, TN",47155,31291,8756,13.2,11231
1999,"Sevier, TN",47155,32772,8823,12.4,11612
2000,"Sevier, TN",47155,34970,9076,12.5,11909
2001,"Sevier, TN",47155,34309,9457,12.8,12074
2002,"Sevier, TN",47155,34561,9815,13.0,12635
2003,"Sevier, TN",47155,35873,9554,12.4,12400
2004,"Sevier, TN",47155,37105,10633,13.4,13054
2005,"Sevier, TN",47155,37909,11299,14.4,13787
2006,"Sevier, TN",47155,39394,11668,14.5,14213
2007,"Sevier, TN",47155,40312,10495,12.7,14522
2008,"Sevier, TN",47155,40378,11097,13.2,14358
2009,"Sevier, TN",47155,41466,11907,13.9,14446
