YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Seward, NE",31159,36215,1079,7.0,2852
1997,"Seward, NE",31159,40984,1108,7.2,2909
1998,"Seward, NE",31159,41728,1117,7.3,2885
1999,"Seward, NE",31159,42561,1064,6.9,2909
2000,"Seward, NE",31159,44312,985,6.4,2788
2001,"Seward, NE",31159,43715,1141,7.4,2763
2002,"Seward, NE",31159,43717,1176,7.6,2652
2003,"Seward, NE",31159,45149,1134,7.3,2626
2004,"Seward, NE",31159,47309,1081,7.0,2616
2005,"Seward, NE",31159,47912,1158,7.6,2649
2006,"Seward, NE",31159,49055,1166,7.6,2624
2007,"Seward, NE",31159,52419,1301,8.6,2644
2008,"Seward, NE",31159,56584,1192,7.7,2628
2009,"Seward, NE",31159,56195,1278,8.4,2587
