YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Starr, TX",48427,16727,28456,52.0,13641
1997,"Starr, TX",48427,14178,26183,46.7,14194
1998,"Starr, TX",48427,16363,25023,43.8,14321
1999,"Starr, TX",48427,17059,23974,44.9,14518
2000,"Starr, TX",48427,17835,23060,42.2,14429
2001,"Starr, TX",48427,17324,22537,40.4,14540
2002,"Starr, TX",48427,17828,22437,39.0,14775
2003,"Starr, TX",48427,19127,21570,36.2,15353
2004,"Starr, TX",48427,19775,21134,34.8,16003
2005,"Starr, TX",48427,17843,27574,45.7,16140
2006,"Starr, TX",48427,20098,27209,44.4,16421
2007,"Starr, TX",48427,23070,19728,32.2,16645
2008,"Starr, TX",48427,23929,22781,36.8,16527
2009,"Starr, TX",48427,22418,23953,38.5,16683
