YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Sumter, FL",12119,24024,7790,22.4,5505
1997,"Sumter, FL",12119,25601,7922,21.4,5767
1998,"Sumter, FL",12119,27360,7339,19.2,5921
1999,"Sumter, FL",12119,30090,6789,14.4,5856
2000,"Sumter, FL",12119,31730,7129,14.9,5901
2001,"Sumter, FL",12119,30559,7640,15.4,5868
2002,"Sumter, FL",12119,31673,7537,15.0,6132
2003,"Sumter, FL",12119,34050,6800,13.1,6393
2004,"Sumter, FL",12119,37523,6913,12.5,6857
2005,"Sumter, FL",12119,36194,7907,14.4,7157
2006,"Sumter, FL",12119,42459,7749,13.1,7416
2007,"Sumter, FL",12119,42828,7980,12.9,7435
2008,"Sumter, FL",12119,48106,8446,13.2,7521
2009,"Sumter, FL",12119,46586,10451,15.6,7650
