YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Trempealeau, WI",55121,29422,2675,10.3,5610
1997,"Trempealeau, WI",55121,31799,2749,10.5,5853
1998,"Trempealeau, WI",55121,34087,2516,9.5,5867
1999,"Trempealeau, WI",55121,36920,2132,8.0,5873
2000,"Trempealeau, WI",55121,39286,2172,8.1,5796
2001,"Trempealeau, WI",55121,38636,2172,8.1,5861
2002,"Trempealeau, WI",55121,39210,2176,8.1,5805
2003,"Trempealeau, WI",55121,39778,2155,7.9,5842
2004,"Trempealeau, WI",55121,42203,2590,9.4,5698
2005,"Trempealeau, WI",55121,40977,2555,9.4,4534
2006,"Trempealeau, WI",55121,43694,2532,9.2,5806
2007,"Trempealeau, WI",55121,46543,2596,9.5,5918
2008,"Trempealeau, WI",55121,48650,2610,9.6,5832
2009,"Trempealeau, WI",55121,44997,3217,11.8,5921
