YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Union, AR",5139,27446,8884,19.3,9504
1997,"Union, AR",5139,29359,8475,18.7,8992
1998,"Union, AR",5139,31282,7969,17.7,9016
1999,"Union, AR",5139,30172,7600,16.9,8872
2000,"Union, AR",5139,31442,7145,16.1,8790
2001,"Union, AR",5139,30818,7419,16.8,8574
2002,"Union, AR",5139,31647,7459,16.9,8399
2003,"Union, AR",5139,31861,7768,17.7,8257
2004,"Union, AR",5139,32721,7710,17.7,8010
2005,"Union, AR",5139,33146,8078,18.8,8160
2006,"Union, AR",5139,34152,8859,20.5,8216
2007,"Union, AR",5139,37120,8046,19.0,8034
2008,"Union, AR",5139,38616,8340,19.8,8048
2009,"Union, AR",5139,35005,9734,23.3,7944
