YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Uvalde, TX",48463,21598,7964,31.5,6142
1997,"Uvalde, TX",48463,22617,7627,30.0,6300
1998,"Uvalde, TX",48463,23603,7200,27.7,6412
1999,"Uvalde, TX",48463,25945,6349,25.0,6276
2000,"Uvalde, TX",48463,27968,6296,24.7,6421
2001,"Uvalde, TX",48463,27010,6670,25.7,6390
2002,"Uvalde, TX",48463,26785,6574,25.0,6336
2003,"Uvalde, TX",48463,27617,6105,23.4,6454
2004,"Uvalde, TX",48463,28573,5878,22.2,6430
2005,"Uvalde, TX",48463,28859,6761,25.8,6342
2006,"Uvalde, TX",48463,30534,6518,24.7,6398
2007,"Uvalde, TX",48463,32881,6207,23.9,6282
2008,"Uvalde, TX",48463,33121,6165,23.8,6108
2009,"Uvalde, TX",48463,30465,8234,31.5,6103
