YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Vilas, WI",55125,28159,2297,11.0,2398
1997,"Vilas, WI",55125,29422,2515,11.7,2530
1998,"Vilas, WI",55125,31292,2025,9.2,2562
1999,"Vilas, WI",55125,33488,1718,8.2,2572
2000,"Vilas, WI",55125,35192,1903,9.0,2591
2001,"Vilas, WI",55125,34114,1988,9.2,3197
2002,"Vilas, WI",55125,34680,1928,8.8,3171
2003,"Vilas, WI",55125,35565,1766,8.0,3090
2004,"Vilas, WI",55125,37152,2047,9.2,2979
2005,"Vilas, WI",55125,37651,2000,9.1,2895
2006,"Vilas, WI",55125,39942,2006,9.1,2802
2007,"Vilas, WI",55125,41184,2291,10.5,2805
2008,"Vilas, WI",55125,41022,2493,11.5,2723
2009,"Vilas, WI",55125,40770,2512,11.9,2759
