YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Walla Walla, WA",53071,32200,7325,14.7,9104
1997,"Walla Walla, WA",53071,34471,7220,14.5,9750
1998,"Walla Walla, WA",53071,35974,6829,13.7,9326
1999,"Walla Walla, WA",53071,35354,6741,13.3,9320
2000,"Walla Walla, WA",53071,36800,6916,13.7,9181
2001,"Walla Walla, WA",53071,35829,7173,14.0,9083
2002,"Walla Walla, WA",53071,36523,7442,14.3,8965
2003,"Walla Walla, WA",53071,37376,7353,14.0,8945
2004,"Walla Walla, WA",53071,38419,7763,14.7,9038
2005,"Walla Walla, WA",53071,37726,9716,18.6,8847
2006,"Walla Walla, WA",53071,42257,9162,17.4,8830
2007,"Walla Walla, WA",53071,44167,9204,17.4,8798
2008,"Walla Walla, WA",53071,44797,9411,17.7,8843
2009,"Walla Walla, WA",53071,43144,9698,17.8,8784
