YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Washington, OR",41067,46835,27333,7.1,60198
1997,"Washington, OR",41067,49753,27045,6.7,63512
1998,"Washington, OR",41067,51775,28385,6.9,65391
1999,"Washington, OR",41067,52032,31346,7.1,67273
2000,"Washington, OR",41067,55139,30295,6.6,69328
2001,"Washington, OR",41067,54444,33585,7.2,71144
2002,"Washington, OR",41067,53891,36853,7.7,73429
2003,"Washington, OR",41067,54001,42406,8.7,75534
2004,"Washington, OR",41067,55933,46527,9.3,77129
2005,"Washington, OR",41067,53835,48027,9.7,78888
2006,"Washington, OR",41067,59456,49117,9.6,79760
2007,"Washington, OR",41067,61721,44745,8.6,82627
2008,"Washington, OR",41067,65576,50055,9.5,83353
2009,"Washington, OR",41067,61022,53333,10.0,83621
