YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Washita, OK",40149,22910,2581,22.2,2225
1997,"Washita, OK",40149,25395,2335,19.9,2215
1998,"Washita, OK",40149,26195,2199,19.0,2247
1999,"Washita, OK",40149,28230,1856,16.3,2231
2000,"Washita, OK",40149,30001,1742,15.5,2278
2001,"Washita, OK",40149,29880,1719,15.4,2267
2002,"Washita, OK",40149,29859,1776,16.0,2162
2003,"Washita, OK",40149,31427,1701,15.0,2130
2004,"Washita, OK",40149,32842,1546,13.7,2052
2005,"Washita, OK",40149,34341,1758,15.7,2015
2006,"Washita, OK",40149,36362,1830,16.2,2105
2007,"Washita, OK",40149,39151,1746,15.3,2156
2008,"Washita, OK",40149,41971,1702,14.9,2189
2009,"Washita, OK",40149,42910,1728,15.0,2209
