YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Waupaca, WI",55135,34759,3625,7.4,10301
1997,"Waupaca, WI",55135,36842,3658,7.3,10634
1998,"Waupaca, WI",55135,39128,3514,7.0,10725
1999,"Waupaca, WI",55135,40358,3409,6.8,10782
2000,"Waupaca, WI",55135,42202,3438,6.8,10632
2001,"Waupaca, WI",55135,41174,3673,7.2,10481
2002,"Waupaca, WI",55135,41958,3750,7.3,10416
2003,"Waupaca, WI",55135,43087,3773,7.4,10356
2004,"Waupaca, WI",55135,45046,4432,8.7,10107
2005,"Waupaca, WI",55135,45272,3991,7.9,10048
2006,"Waupaca, WI",55135,44479,5069,10.0,9961
2007,"Waupaca, WI",55135,47515,4481,8.9,9811
2008,"Waupaca, WI",55135,45754,4797,9.6,9682
2009,"Waupaca, WI",55135,48420,5404,10.8,9495
