YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Weber, UT",49057,40571,18526,10.3,40537
1997,"Weber, UT",49057,42764,19883,10.8,41461
1998,"Weber, UT",49057,43744,20670,11.1,41938
1999,"Weber, UT",49057,43329,17898,9.2,42127
2000,"Weber, UT",49057,46216,17916,9.0,41838
2001,"Weber, UT",49057,45489,18251,9.1,42018
2002,"Weber, UT",49057,46160,18817,9.2,41293
2003,"Weber, UT",49057,46626,20490,9.9,41345
2004,"Weber, UT",49057,47481,22779,10.9,41761
2005,"Weber, UT",49057,48998,22677,10.9,41941
2006,"Weber, UT",49057,49525,23559,11.2,42732
2007,"Weber, UT",49057,52275,22956,10.5,43279
2008,"Weber, UT",49057,51413,23572,10.5,46302
2009,"Weber, UT",49057,53094,28582,12.5,45071
