YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"West Carroll, LA",22123,19605,3231,26.4,2698
1997,"West Carroll, LA",22123,19942,2978,24.4,2770
1998,"West Carroll, LA",22123,21831,2973,24.4,2845
1999,"West Carroll, LA",22123,23871,2875,24.8,2653
2000,"West Carroll, LA",22123,25368,2569,22.7,2592
2001,"West Carroll, LA",22123,25209,2544,22.4,2568
2002,"West Carroll, LA",22123,25284,2402,20.9,2467
2003,"West Carroll, LA",22123,26469,2124,18.9,2454
2004,"West Carroll, LA",22123,26661,2516,22.7,2371
2005,"West Carroll, LA",22123,28101,2714,24.7,2346
2006,"West Carroll, LA",22123,29463,2566,23.5,2302
2007,"West Carroll, LA",22123,28781,2741,25.5,2311
2008,"West Carroll, LA",22123,30922,2531,23.7,2282
2009,"West Carroll, LA",22123,38038,2097,19.9,2257
