YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Wolfe, KY",21237,16745,2870,38.9,1437
1997,"Wolfe, KY",21237,16323,2722,36.6,1394
1998,"Wolfe, KY",21237,17647,2272,30.0,1365
1999,"Wolfe, KY",21237,19101,1945,28.0,1398
2000,"Wolfe, KY",21237,19977,2193,32.3,1363
2001,"Wolfe, KY",21237,19082,2350,34.3,1353
2002,"Wolfe, KY",21237,19312,2348,34.4,1334
2003,"Wolfe, KY",21237,20249,1916,27.6,1412
2004,"Wolfe, KY",21237,22350,2048,29.4,1385
2005,"Wolfe, KY",21237,22189,2327,33.7,1377
2006,"Wolfe, KY",21237,23158,2389,34.4,1405
2007,"Wolfe, KY",21237,24749,2526,36.7,1312
2008,"Wolfe, KY",21237,23310,2467,36.1,1269
2009,"Wolfe, KY",21237,25203,2294,33.0,1252
