YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Acadia, LA",22001,22711,14348,24.8,10999
1997-01-01,"Acadia, LA",22001,24975,11838,20.4,10955
1998-01-01,"Acadia, LA",22001,26977,12131,20.8,11377
1999-01-01,"Acadia, LA",22001,26698,12461,21.4,10691
2000-01-01,"Acadia, LA",22001,28022,11322,19.6,10492
2001-01-01,"Acadia, LA",22001,27934,11558,19.9,10225
2002-01-01,"Acadia, LA",22001,28226,11322,19.3,9984
2003-01-01,"Acadia, LA",22001,29584,11633,19.9,9739
2004-01-01,"Acadia, LA",22001,30040,12345,21.0,9650
2005-01-01,"Acadia, LA",22001,28648,13169,22.6,9499
2006-01-01,"Acadia, LA",22001,30639,13359,22.5,9545
2007-01-01,"Acadia, LA",22001,33098,13801,23.5,9479
2008-01-01,"Acadia, LA",22001,37862,11609,19.7,9435
2009-01-01,"Acadia, LA",22001,35583,11957,20.3,9334
2010-01-01,"Acadia, LA",22001,35402,12166,20.0,9173
2011-01-01,"Acadia, LA",22001,35613,12315,20.0,9059
2012-01-01,"Acadia, LA",22001,36041,12449,21.0,8963
2013-01-01,"Acadia, LA",22001,36597,12507,21.0,8879
2014-01-01,"Acadia, LA",22001,37168,12537,21.0,8797
2015-01-01,"Acadia, LA",22001,37715,12551,21.0,8717
2016-01-01,"Acadia, LA",22001,38228,12565,21.0,8638
2017-01-01,"Acadia, LA",22001,38713,12581,21.0,8561
2018-01-01,"Acadia, LA",22001,39175,12599,21.0,8487
2019-01-01,"Acadia, LA",22001,39619,12617,21.0,8416
