YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Amador, CA",6005,35647,2897,9.6,4711
1997-01-01,"Amador, CA",6005,37829,3380,11.4,4834
1998-01-01,"Amador, CA",6005,39610,3380,11.3,4837
1999-01-01,"Amador, CA",6005,40177,3029,9.9,4948
2000-01-01,"Amador, CA",6005,42701,3110,9.9,5691
2001-01-01,"Amador, CA",6005,41805,3248,10.1,5617
2002-01-01,"Amador, CA",6005,43628,3082,9.4,5526
2003-01-01,"Amador, CA",6005,44445,3064,9.2,5535
2004-01-01,"Amador, CA",6005,47459,2997,8.8,5357
2005-01-01,"Amador, CA",6005,52078,3377,10.0,5356
2006-01-01,"Amador, CA",6005,50528,3100,9.0,5303
2007-01-01,"Amador, CA",6005,54903,3432,10.1,5201
2008-01-01,"Amador, CA",6005,53951,3333,9.8,5007
2009-01-01,"Amador, CA",6005,54461,3762,11.3,4944
2010-01-01,"Amador, CA",6005,53793,3361,10.0,4576
2011-01-01,"Amador, CA",6005,55283,3645,11.0,4620
2012-01-01,"Amador, CA",6005,54078,3583,10.0,4590
2013-01-01,"Amador, CA",6005,53355,3586,11.0,4600
2014-01-01,"Amador, CA",6005,52511,3566,11.0,4619
2015-01-01,"Amador, CA",6005,51748,3546,11.0,4648
2016-01-01,"Amador, CA",6005,51066,3524,10.0,4684
2017-01-01,"Amador, CA",6005,50494,3501,10.0,4722
2018-01-01,"Amador, CA",6005,50043,3480,10.0,4761
2019-01-01,"Amador, CA",6005,49714,3461,10.0,4797
