YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Antelope, NE",31003,26029,1052,14.1,1345
1997-01-01,"Antelope, NE",31003,30271,958,13.0,1310
1998-01-01,"Antelope, NE",31003,30827,1088,15.1,1341
1999-01-01,"Antelope, NE",31003,30689,995,13.4,1250
2000-01-01,"Antelope, NE",31003,31914,892,12.4,1230
2001-01-01,"Antelope, NE",31003,31360,917,12.8,1338
2002-01-01,"Antelope, NE",31003,31020,925,12.9,1296
2003-01-01,"Antelope, NE",31003,33156,833,11.8,1288
2004-01-01,"Antelope, NE",31003,34933,783,11.3,1261
2005-01-01,"Antelope, NE",31003,33800,874,12.7,1209
2006-01-01,"Antelope, NE",31003,33892,865,12.7,1201
2007-01-01,"Antelope, NE",31003,36761,938,14.1,1081
2008-01-01,"Antelope, NE",31003,37307,906,13.8,1067
2009-01-01,"Antelope, NE",31003,37213,981,15.0,1093
2010-01-01,"Antelope, NE",31003,37498,970,14.0,1027
2011-01-01,"Antelope, NE",31003,37803,969,14.0,1026
2012-01-01,"Antelope, NE",31003,38231,970,14.0,1007
2013-01-01,"Antelope, NE",31003,38617,972,15.0,992
2014-01-01,"Antelope, NE",31003,38995,975,15.0,975
2015-01-01,"Antelope, NE",31003,39360,978,15.0,959
2016-01-01,"Antelope, NE",31003,39713,982,15.0,943
2017-01-01,"Antelope, NE",31003,40054,986,15.0,928
2018-01-01,"Antelope, NE",31003,40385,990,15.0,913
2019-01-01,"Antelope, NE",31003,40704,994,15.0,899
