YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Augusta, VA",51015,35223,4731,7.7,10257
1997-01-01,"Augusta, VA",51015,38934,5062,8.4,10673
1998-01-01,"Augusta, VA",51015,41116,5300,8.7,10817
1999-01-01,"Augusta, VA",51015,41445,4888,7.6,10877
2000-01-01,"Augusta, VA",51015,43427,4803,7.4,10901
2001-01-01,"Augusta, VA",51015,42369,4904,7.5,10843
2002-01-01,"Augusta, VA",51015,43492,5085,7.7,10746
2003-01-01,"Augusta, VA",51015,45347,5164,7.7,10755
2004-01-01,"Augusta, VA",51015,47039,4877,7.1,10714
2005-01-01,"Augusta, VA",51015,46202,4997,7.4,10871
2006-01-01,"Augusta, VA",51015,47970,5723,8.3,11045
2007-01-01,"Augusta, VA",51015,50887,4968,7.2,11105
2008-01-01,"Augusta, VA",51015,52341,5686,8.2,11040
2009-01-01,"Augusta, VA",51015,50401,6464,9.3,10999
2010-01-01,"Augusta, VA",51015,52554,5607,7.0,11062
2011-01-01,"Augusta, VA",51015,52491,5809,8.0,11039
2012-01-01,"Augusta, VA",51015,53089,5751,8.0,11044
2013-01-01,"Augusta, VA",51015,53418,5810,8.0,11045
2014-01-01,"Augusta, VA",51015,53789,5835,8.0,11051
2015-01-01,"Augusta, VA",51015,54104,5866,8.0,11057
2016-01-01,"Augusta, VA",51015,54397,5890,8.0,11062
2017-01-01,"Augusta, VA",51015,54662,5913,8.0,11068
2018-01-01,"Augusta, VA",51015,54904,5932,8.0,11072
2019-01-01,"Augusta, VA",51015,55123,5950,8.0,11077
