YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Barry, MO",29009,25289,5130,15.8,5884
1997-01-01,"Barry, MO",29009,26543,5171,15.5,6201
1998-01-01,"Barry, MO",29009,28095,5135,15.3,6267
1999-01-01,"Barry, MO",29009,28578,5300,15.7,6517
2000-01-01,"Barry, MO",29009,30127,4940,14.5,6637
2001-01-01,"Barry, MO",29009,29419,5061,14.9,6580
2002-01-01,"Barry, MO",29009,29465,5163,15.0,6647
2003-01-01,"Barry, MO",29009,30698,5221,14.9,6686
2004-01-01,"Barry, MO",29009,31078,5884,16.6,6659
2005-01-01,"Barry, MO",29009,32479,6563,18.7,6690
2006-01-01,"Barry, MO",29009,33386,6923,19.3,6790
2007-01-01,"Barry, MO",29009,34749,6182,17.3,6835
2008-01-01,"Barry, MO",29009,38692,6051,16.9,6881
2009-01-01,"Barry, MO",29009,36023,6678,18.9,6372
2010-01-01,"Barry, MO",29009,35854,7193,20.0,6210
2011-01-01,"Barry, MO",29009,36004,7423,21.0,6140
2012-01-01,"Barry, MO",29009,36238,7576,21.0,6095
2013-01-01,"Barry, MO",29009,36486,7703,22.0,6058
2014-01-01,"Barry, MO",29009,36724,7818,22.0,6023
2015-01-01,"Barry, MO",29009,36945,7925,22.0,5988
2016-01-01,"Barry, MO",29009,37149,8026,22.0,5955
2017-01-01,"Barry, MO",29009,37335,8121,23.0,5923
2018-01-01,"Barry, MO",29009,37505,8209,23.0,5893
2019-01-01,"Barry, MO",29009,37661,8293,23.0,5864
