YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bates, MO",29013,25271,2603,16.5,2913
1997-01-01,"Bates, MO",29013,28735,2259,14.2,2955
1998-01-01,"Bates, MO",29013,29005,2307,14.3,3026
1999-01-01,"Bates, MO",29013,30287,2346,14.3,3019
2000-01-01,"Bates, MO",29013,32010,2176,13.2,2993
2001-01-01,"Bates, MO",29013,32114,2200,13.2,3055
2002-01-01,"Bates, MO",29013,32942,2134,12.7,3083
2003-01-01,"Bates, MO",29013,34095,2178,13.0,2992
2004-01-01,"Bates, MO",29013,35027,2409,14.3,2880
2005-01-01,"Bates, MO",29013,36162,2552,15.3,2816
2006-01-01,"Bates, MO",29013,38950,2682,16.0,2797
2007-01-01,"Bates, MO",29013,37981,2660,15.9,2733
2008-01-01,"Bates, MO",29013,36904,2746,16.4,2688
2009-01-01,"Bates, MO",29013,38926,2577,15.7,2348
2010-01-01,"Bates, MO",29013,38073,3160,19.0,2162
2011-01-01,"Bates, MO",29013,39740,3305,20.0,1863
2012-01-01,"Bates, MO",29013,39714,3733,23.0,1583
2013-01-01,"Bates, MO",29013,40638,4036,25.0,1228
2014-01-01,"Bates, MO",29013,40956,4484,28.0,844
2015-01-01,"Bates, MO",29013,41647,4929,32.0,390
2016-01-01,"Bates, MO",29013,42142,5477,36.0,-120
2017-01-01,"Bates, MO",29013,42805,6079,40.0,-710
2018-01-01,"Bates, MO",29013,43433,6782,45.0,-1380
2019-01-01,"Bates, MO",29013,44169,7575,51.0,-2148
