YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bennett, SD",46007,21458,1219,36.2,754
1997-01-01,"Bennett, SD",46007,22345,1224,36.1,816
1998-01-01,"Bennett, SD",46007,22610,1090,32.9,840
1999-01-01,"Bennett, SD",46007,24312,1022,28.8,873
2000-01-01,"Bennett, SD",46007,26235,1071,30.6,591
2001-01-01,"Bennett, SD",46007,25271,1001,28.6,580
2002-01-01,"Bennett, SD",46007,23553,1039,29.6,606
2003-01-01,"Bennett, SD",46007,25822,957,27.4,608
2004-01-01,"Bennett, SD",46007,25755,1041,29.3,555
2005-01-01,"Bennett, SD",46007,30823,1200,34.2,542
2006-01-01,"Bennett, SD",46007,30585,1226,35.3,558
2007-01-01,"Bennett, SD",46007,30635,1171,34.6,542
2008-01-01,"Bennett, SD",46007,30560,1124,33.8,555
2009-01-01,"Bennett, SD",46007,32137,1242,37.8,556
2010-01-01,"Bennett, SD",46007,31928,1238,37.0,635
2011-01-01,"Bennett, SD",46007,31780,1232,37.0,660
2012-01-01,"Bennett, SD",46007,31674,1227,37.0,665
2013-01-01,"Bennett, SD",46007,31595,1223,37.0,664
2014-01-01,"Bennett, SD",46007,31537,1220,37.0,661
2015-01-01,"Bennett, SD",46007,31492,1218,37.0,657
2016-01-01,"Bennett, SD",46007,31457,1217,37.0,655
2017-01-01,"Bennett, SD",46007,31430,1216,36.0,653
2018-01-01,"Bennett, SD",46007,31408,1215,36.0,652
2019-01-01,"Bennett, SD",46007,31390,1214,36.0,651
