YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Borden, TX",48033,34986,50,6.4,172
1997-01-01,"Borden, TX",48033,36730,91,11.7,201
1998-01-01,"Borden, TX",48033,34150,89,11.5,208
1999-01-01,"Borden, TX",48033,29892,77,10.5,193
2000-01-01,"Borden, TX",48033,31063,69,10.0,207
2001-01-01,"Borden, TX",48033,32868,63,9.1,182
2002-01-01,"Borden, TX",48033,36050,65,9.5,149
2003-01-01,"Borden, TX",48033,40609,47,6.9,166
2004-01-01,"Borden, TX",48033,37739,41,6.3,160
2005-01-01,"Borden, TX",48033,36817,57,8.8,168
2006-01-01,"Borden, TX",48033,38329,62,9.6,155
2007-01-01,"Borden, TX",48033,41783,47,8.0,144
2008-01-01,"Borden, TX",48033,44822,53,9.0,168
2009-01-01,"Borden, TX",48033,46729,67,11.3,192
2010-01-01,"Borden, TX",48033,45559,61,11.0,183
2011-01-01,"Borden, TX",48033,47137,50,10.0,168
2012-01-01,"Borden, TX",48033,50482,40,9.0,155
2013-01-01,"Borden, TX",48033,54557,33,9.0,146
2014-01-01,"Borden, TX",48033,58760,27,9.0,141
2015-01-01,"Borden, TX",48033,62976,22,9.0,137
2016-01-01,"Borden, TX",48033,67379,16,9.0,133
2017-01-01,"Borden, TX",48033,72227,9,9.0,127
2018-01-01,"Borden, TX",48033,77732,0,9.0,119
2019-01-01,"Borden, TX",48033,84032,-9,9.0,109
