YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bradley, AR",5011,22344,2597,22.5,2378
1997-01-01,"Bradley, AR",5011,24482,2424,21.4,2316
1998-01-01,"Bradley, AR",5011,26629,2281,20.1,2275
1999-01-01,"Bradley, AR",5011,25161,2488,20.2,2260
2000-01-01,"Bradley, AR",5011,25755,2526,20.6,2238
2001-01-01,"Bradley, AR",5011,25090,2547,21.1,2192
2002-01-01,"Bradley, AR",5011,25557,2546,21.0,2162
2003-01-01,"Bradley, AR",5011,26507,2440,20.3,2162
2004-01-01,"Bradley, AR",5011,27661,2427,20.4,2177
2005-01-01,"Bradley, AR",5011,27543,2935,25.8,2138
2006-01-01,"Bradley, AR",5011,28478,3050,26.1,2174
2007-01-01,"Bradley, AR",5011,30150,2824,24.4,2140
2008-01-01,"Bradley, AR",5011,30621,2778,24.1,2126
2009-01-01,"Bradley, AR",5011,29221,3145,27.6,2046
2010-01-01,"Bradley, AR",5011,30989,3099,27.0,2078
2011-01-01,"Bradley, AR",5011,31445,3167,27.0,2064
2012-01-01,"Bradley, AR",5011,31948,3227,28.0,2051
2013-01-01,"Bradley, AR",5011,32449,3287,28.0,2038
2014-01-01,"Bradley, AR",5011,32950,3348,29.0,2025
2015-01-01,"Bradley, AR",5011,33451,3408,30.0,2013
2016-01-01,"Bradley, AR",5011,33952,3468,30.0,2001
2017-01-01,"Bradley, AR",5011,34451,3528,31.0,1989
2018-01-01,"Bradley, AR",5011,34951,3588,31.0,1977
2019-01-01,"Bradley, AR",5011,35449,3648,32.0,1965
