YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Brunswick, NC",37019,29796,9727,15.2,8953
1997-01-01,"Brunswick, NC",37019,30689,9682,14.0,9294
1998-01-01,"Brunswick, NC",37019,31828,10255,14.3,9512
1999-01-01,"Brunswick, NC",37019,33786,9976,13.7,9877
2000-01-01,"Brunswick, NC",37019,35937,10001,13.2,10029
2001-01-01,"Brunswick, NC",37019,35011,10603,13.5,10252
2002-01-01,"Brunswick, NC",37019,35786,11425,14.0,10394
2003-01-01,"Brunswick, NC",37019,37577,11208,13.3,10798
2004-01-01,"Brunswick, NC",37019,39379,11708,13.2,11293
2005-01-01,"Brunswick, NC",37019,37921,12371,14.1,11631
2006-01-01,"Brunswick, NC",37019,45889,11258,12.0,12041
2007-01-01,"Brunswick, NC",37019,41891,13527,13.8,12433
2008-01-01,"Brunswick, NC",37019,46686,12165,11.9,12556
2009-01-01,"Brunswick, NC",37019,44891,15486,14.6,12710
2010-01-01,"Brunswick, NC",37019,45466,13788,12.0,13281
2011-01-01,"Brunswick, NC",37019,50324,13954,12.0,13478
2012-01-01,"Brunswick, NC",37019,48349,15237,13.0,13872
2013-01-01,"Brunswick, NC",37019,52230,14588,12.0,14224
2014-01-01,"Brunswick, NC",37019,52330,15771,12.0,14551
2015-01-01,"Brunswick, NC",37019,54262,15700,12.0,14944
2016-01-01,"Brunswick, NC",37019,55831,16289,12.0,15287
2017-01-01,"Brunswick, NC",37019,57052,16693,12.0,15674
2018-01-01,"Brunswick, NC",37019,58919,17030,11.0,16048
2019-01-01,"Brunswick, NC",37019,60250,17550,11.0,16435
